CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
9462	9816	10	0.7852	-342.115
31	145	10	0.7575	-162.053
3167	13012	10	0.778	-90.023
365	12967	10	0.803	-290.112
31	6579	10	0.8728	-180.064
6742	9462	10	0.816	-120.043
11283	16618	10	0.7048	44.026
1219	1389	10	0.7617	-162.052
234	3167	10	0.7921	81.017
6601	13087	10	0.8299	-0.000
9816	16763	10	0.7852	342.115
1219	6289	10	0.7578	-162.052
3868	7930	10	0.8798	222.044
9212	12196	10	0.8228	-18.010
10297	12967	10	0.9307	-0.000
9785	13087	10	0.8044	162.052
7930	13012	10	0.762	-90.024
788	7930	10	0.9101	199.044
365	11773	10	0.8357	0.000
1389	13087	10	0.8299	162.052
1389	9785	10	0.8883	0.000
449	3167	10	0.9119	-0.009
234	7930	10	0.7794	81.018
1389	5544	10	0.9346	-0.000
53	13012	10	0.7611	109.005
6289	6601	10	0.7578	162.052
359	11773	10	0.7823	0.036
788	3526	10	0.9108	199.044
2687	9212	10	0.8608	0.000
3167	3868	10	0.8996	-222.044
45	139	10	0.7308	180.064
740	13012	10	0.9097	289.043
359	4403	10	0.7674	-272.065
145	6579	10	0.7406	-18.010
6579	6873	10	0.7666	469.132
6582	9462	10	0.8425	18.010
1389	6289	10	0.8883	-0.000
5544	6289	10	0.8741	0.000
6582	16763	10	0.8425	18.010
1389	16763	10	0.7663	342.115
9313	16763	10	0.8234	18.010
6742	16618	10	0.7036	-6.011
6917	13087	10	0.8231	162.052
11773	12967	10	0.8487	-290.112
9313	13087	10	0.7807	-162.053
6601	6917	10	0.7584	-162.052
53	449	10	0.8848	199.037
449	3868	10	0.8643	-222.053
5544	9816	10	0.9261	0.000
3526	4406	10	0.8124	-1.000
454	1117	10	0.902	-162.052
53	139	10	0.754	15.978
3167	7930	10	0.9442	0.000
1389	6917	10	0.9126	-0.000
449	6873	10	0.7456	-90.032
6917	9462	10	0.8035	342.115
6289	9785	10	1.0	0.000
359	6873	10	0.7723	1.007
5544	16763	10	0.8003	342.115
2687	6742	10	0.8462	0.001
5544	6601	10	0.7777	162.052
6643	6742	10	0.7086	48.021
5544	13087	10	0.8252	162.052
3886	4403	10	0.7402	-281.145
359	10297	10	0.8613	-290.076
1219	6601	10	1.0	0.000
1281	4403	10	0.8266	182.082
6917	16763	10	0.8035	342.115
4702	6643	10	0.7013	-90.032
1219	9816	10	0.7831	-162.052
359	365	10	0.7541	0.036
45	10297	10	0.7507	-17.992
5544	9462	10	0.8003	342.115
4702	9212	10	0.7173	-42.011
4702	12196	10	0.7073	-60.021
449	7930	10	0.9122	-0.008
1219	13087	10	0.8299	-0.000
740	6579	10	0.8545	-180.089
740	6873	10	0.8848	289.043
6742	16763	10	0.816	-120.043
6592	6643	10	0.9029	-0.000
31	740	10	0.9225	0.025
31	6873	10	0.8708	289.068
8940	14485	11	0.8219	14.016
8520	8796	11	0.7668	-196.218
6680	14489	11	0.7967	-196.216
8940	14943	11	0.8139	45.057
6680	8531	11	0.8243	-168.186
14485	14943	11	0.8314	31.042
6797	6816	11	0.8234	-168.186
6839	6850	11	0.8892	14.016
3315	6680	11	0.7938	168.187
6666	8432	11	0.7457	-88.052
6666	8796	11	0.7691	-28.031
8512	8940	11	0.8219	-14.016
8521	14489	11	0.8172	-14.014
6832	8796	11	0.8026	-28.031
8461	8521	11	0.8211	-31.043
3315	8521	11	0.8562	-14.015
6616	6839	11	0.8303	-14.015
8512	14485	11	1.0	0.000
6666	8940	11	0.7691	-28.031
6616	8944	11	0.7112	-28.030
6666	14485	11	0.8344	-14.015
3315	14489	11	0.7779	-28.029
8461	8531	11	0.7899	-17.026
6839	8817	11	0.7853	-14.016
6616	6666	11	0.7438	-44.026
6666	8520	11	0.7556	168.187
6816	8536	11	0.8398	-14.016
6666	8512	11	0.8344	-14.015
8432	8552	11	0.7602	-14.015
6616	6850	11	0.8517	0.001
6832	8512	11	0.8361	-14.016
6839	8487	11	0.7751	31.042
8512	8796	11	0.8219	-14.016
6832	14943	11	0.8002	17.026
6616	8487	11	0.796	17.027
3315	8461	11	0.8456	17.027
8796	8940	11	1.0	0.000
6797	8536	11	0.7758	-182.202
6832	8520	11	0.7553	168.187
8531	14489	11	0.799	-28.030
6616	6767	11	0.7062	-88.052
6616	8817	11	0.7112	-28.031
8432	8557	11	0.7708	0.001
6729	6839	11	0.7981	-182.202
8796	14485	11	0.8219	14.016
8520	8940	11	0.7668	-196.218
8521	8531	11	0.8584	14.016
6729	6850	11	0.8398	-168.187
8461	8487	11	0.7662	-44.027
6767	6816	11	0.8232	0.000
6832	8940	11	0.8026	-28.031
8520	14485	11	0.7661	-182.202
6666	14943	11	0.775	17.026
6839	8944	11	0.7853	-14.015
8817	8944	11	1.0	0.001
8796	14943	11	0.8139	45.057
6850	8487	11	0.8261	17.026
6729	8487	11	0.856	-151.161
6680	8521	11	0.8353	-182.203
6832	14485	11	0.8361	-14.016
6850	8944	11	0.7841	-28.030
6680	8461	11	0.8075	-151.160
8520	14943	11	0.8173	-151.161
6666	6832	11	0.8057	0.000
3315	8531	11	0.8319	0.001
6850	8817	11	0.7841	-28.031
6616	6729	11	0.7942	168.187
6767	6797	11	0.7852	168.187
6666	6767	11	0.7486	-44.026
